,fb_vad_comp_r,fb_vader_pos_r,fb_vad_comp75_r,fb_vader_neg75_r,PANAS_Pos_r,PANAS_Neg_r,tot_affect_r
0,18.0,3.0,22.5,111.5,618.5,475.5,476.0
1,164.0,114.0,321.0,478.0,66.5,541.5,87.5
2,90.0,54.0,22.5,111.5,682.5,44.0,749.5
4,233.0,278.0,241.0,446.0,384.5,13.0,698.0
6,367.0,346.0,425.0,421.0,111.0,262.0,274.0
7,87.0,136.0,72.0,111.5,79.5,510.5,133.5
9,524.0,464.0,524.0,111.5,618.5,67.0,727.0
10,13.0,22.0,22.5,409.5,384.5,90.0,619.0
11,65.0,41.0,85.5,368.0,136.5,621.5,111.0
14,136.0,167.0,101.0,111.5,652.0,262.0,639.0
15,102.0,155.0,225.0,515.5,384.5,90.0,619.0
16,490.0,500.0,386.0,111.5,618.5,262.0,619.0
18,279.0,408.0,282.0,449.5,384.5,541.5,274.0
19,117.0,79.0,102.0,111.5,444.0,147.5,600.0
20,235.0,293.0,210.5,111.5,212.5,621.5,149.5
21,105.0,99.0,63.0,538.0,384.5,262.0,476.0
23,135.0,186.0,157.5,474.0,384.5,771.0,16.5
24,312.0,353.0,193.0,111.5,288.0,694.0,133.5
26,283.0,448.0,264.5,520.0,66.5,437.0,149.5
27,334.0,185.0,297.0,251.0,14.5,114.5,168.0
29,217.0,211.0,314.0,480.0,709.5,262.0,678.5
31,162.0,241.0,193.0,111.5,173.0,650.5,111.0
32,15.0,132.0,92.0,557.0,618.5,1.5,759.0
33,453.0,495.0,492.0,540.0,384.5,541.5,274.0
34,214.0,315.0,193.0,387.0,248.5,13.0,639.0
35,442.0,197.0,530.0,291.0,173.0,262.0,331.0
36,213.0,123.0,145.0,111.5,490.0,510.5,357.5
38,397.0,329.0,456.0,434.0,771.0,44.0,770.0
39,268.5,257.5,326.0,111.5,384.5,569.5,251.0
40,535.0,480.0,553.0,256.0,444.0,694.0,186.0
41,526.0,547.0,475.5,111.5,532.5,475.5,418.0
42,121.0,133.0,116.5,501.5,55.0,595.5,55.0
44,298.5,268.5,306.5,263.5,173.0,650.5,111.0
45,553.0,555.0,494.0,111.5,384.5,677.0,186.0
