,fb_vad_comp_r,fb_vader_pos_r,fb_vad_comp75_r,fb_vader_neg75_r,PANAS_Pos_r,PANAS_Neg_r,tot_affect_r
6,367.0,346.0,425.0,421.0,111.0,262.0,274.0
19,117.0,79.0,102.0,111.5,444.0,147.5,600.0
56,423.0,203.0,416.0,111.5,330.5,114.5,574.5
68,362.0,263.0,403.0,370.0,212.5,595.5,168.0
75,342.0,439.0,368.0,465.5,212.5,763.0,21.5
83,266.0,195.0,308.0,402.5,444.0,510.5,331.0
86,352.0,146.0,448.5,390.0,330.5,595.5,218.0
92,107.0,37.0,70.0,111.5,288.0,718.5,87.5
107,390.0,412.0,457.0,448.0,288.0,437.0,301.0
111,405.0,459.0,436.0,471.5,14.5,737.5,4.0
140,345.0,302.0,377.0,302.5,111.0,475.5,186.0
149,80.0,75.0,338.0,501.5,248.5,694.0,111.0
159,159.0,334.0,228.5,556.0,577.5,306.0,574.5
166,248.0,175.0,303.0,405.0,532.5,223.5,600.0
192,122.0,224.0,207.0,521.0,330.5,351.5,385.5
202,341.0,331.0,462.5,482.5,444.0,621.5,232.0
219,395.0,320.0,389.0,111.5,618.5,262.0,619.0
220,361.0,392.0,349.0,458.0,40.0,677.0,26.0
251,58.0,97.0,65.0,333.0,444.0,541.5,301.0
254,482.0,429.0,487.0,331.0,212.5,730.0,55.0
303,427.0,394.0,481.0,392.0,33.5,351.5,111.0
319,437.0,415.0,388.0,266.0,652.0,187.0,678.5
331,311.0,198.0,375.0,350.5,66.5,437.0,149.5
346,528.0,433.0,528.0,254.0,111.0,44.0,476.0
352,18.0,3.0,22.5,111.5,248.5,351.5,331.0
372,379.0,444.0,410.5,499.0,248.5,351.5,331.0
376,398.0,461.0,401.0,449.5,212.5,223.5,385.5
404,176.5,249.5,347.5,497.5,212.5,694.0,87.5
405,527.0,513.0,482.5,111.5,652.0,262.0,639.0
426,160.0,82.0,193.0,396.5,288.0,730.0,71.0
430,152.0,247.0,228.5,537.0,384.5,351.5,418.0
432,329.0,292.0,288.0,319.5,136.5,706.0,55.0
433,27.0,9.0,22.5,111.5,288.0,706.0,111.0
453,207.0,216.0,298.0,457.0,577.5,437.0,476.0
467,63.0,113.0,132.0,475.0,618.5,621.5,331.0
471,139.0,172.0,303.0,480.0,747.5,262.0,727.0
473,180.0,280.0,193.0,522.0,330.5,306.0,418.0
474,520.0,482.0,554.0,434.0,709.5,187.0,714.5
508,391.0,377.0,447.0,414.0,577.5,569.5,357.5
527,428.0,446.0,509.0,504.0,248.5,569.5,202.5
550,418.0,234.0,410.5,241.0,490.0,90.0,659.5
551,509.0,424.0,551.0,329.0,248.5,90.0,542.5
553,513.0,503.0,532.0,396.5,212.5,396.5,274.0
568,249.0,210.0,125.5,111.5,652.0,510.5,476.0
571,494.0,419.0,517.0,319.5,330.5,396.5,357.5
596,261.0,103.0,275.0,285.0,444.0,90.0,639.0
619,456.0,476.0,470.0,111.5,330.5,351.5,385.5
625,59.0,128.0,66.0,111.5,33.5,396.5,87.5
627,76.0,31.0,22.5,111.5,577.5,475.5,447.0
632,514.0,505.0,548.0,486.0,444.0,475.5,357.5
644,238.0,285.0,235.5,230.0,618.5,306.0,600.0
646,284.0,373.0,257.0,111.5,384.5,67.0,639.0
650,308.0,104.0,333.5,111.5,618.5,475.5,476.0
651,48.5,101.5,55.5,344.5,136.5,262.0,301.0
657,72.0,107.0,128.0,503.0,577.5,510.5,418.0
664,99.0,72.0,62.0,111.5,577.5,223.5,619.0
671,187.0,223.0,227.0,339.5,682.5,569.5,447.0
678,41.0,14.0,22.5,111.5,490.0,569.5,301.0
684,216.0,157.0,157.5,111.5,618.5,5.0,755.5
697,196.0,182.0,396.0,530.0,248.5,718.5,71.0
698,328.0,301.0,395.0,444.0,111.0,114.5,385.5
702,502.0,348.0,552.0,363.0,111.0,437.0,202.5
704,530.0,471.0,535.0,111.5,330.5,510.5,274.0
750,280.0,338.0,193.0,111.5,652.0,396.5,574.5
761,100.0,137.0,97.5,444.0,288.0,437.0,301.0
