name,type,,
Id,varchar(32),,
gender,"enum('M','F','decline')",,
yob,year(4),,
country,char(2),,
ethnicity,"set('white','black','latino','indian','asian','hawaiian','amind','other')",,
income,int(9),,
edu,"enum('none','elem','hs','hsgrad','college','as','bs','ms','md','phd')",,
party,"enum('democrat','republican','constitution','green','libertarian')",,
party_com,text,,
pol_spec,tinyint(4),,
party0_bond,tinyint(4),,
party1_solidarity,tinyint(4),,
party2_committed,tinyint(4),,
party3_glad,tinyint(4),,
party4_proud,tinyint(4),,
party5_pleasant,tinyint(4),,
party6_goodfeel,tinyint(4),,
party7_think,tinyint(4),,
party8_identity,tinyint(4),,
party9_seemyself,tinyint(4),,
party10_common_avg,tinyint(4),,
party11_similar_avg,tinyint(4),,
party12_common_oth,tinyint(4),,
party13_similar_oth,tinyint(4),,
own_form11,varchar(32),,
own_form12,varchar(32),,
own_URL1,text,,
own_form21,varchar(32),,
own_form22,varchar(32),,
own_URL2,text,,
own_form31,varchar(32),,
own_form32,varchar(32),,
own_URL3,text,,
own1_bond,tinyint(4),,
own2_solidarity,tinyint(4),,
own3_committed,tinyint(4),,
own4_glad,tinyint(4),,
own5_proud,tinyint(4),,
own6_pleasant,tinyint(4),,
own7_goodfeel,tinyint(4),,
own8_think,tinyint(4),,
own9_identity,tinyint(4),,
own10_seemyself,tinyint(4),,
own11_common_avg,tinyint(4),,
own12_similar_avg,tinyint(4),,
own13_common_oth,tinyint(4),,
own14_similar_oth,tinyint(4),,
fb_comments,text,,
fb_feel,tinyint(4),,
fb_feel_comments,text,,
fb_doing,tinyint(4),,
fb_doing_comments,text,,
fb_where,tinyint(4),,
fb_where_comments,text,,
fb_entertain,tinyint(4),,
fb_entertain_comments,text,,
fb_political,tinyint(4),,
fb_political_comments,text,,
fb_family,tinyint(4),,
fb_family_comments,text,,
fb_god,tinyint(4),,
fb_god_comments,text,,
fb_academic,tinyint(4),,
fb_academic_comments,text,,
fb_appearance,tinyint(4),,
fb_appearance_comments,text,,
tw_comments,text,,
tw_feel,tinyint(4),,
tw_feel_comments,text,,
tw_doing,tinyint(4),,
tw_doing_comments,text,,
tw_where,tinyint(4),,
tw_where_comments,text,,
tw_entertain,tinyint(4),,
tw_entertain_comments,text,,
tw_political,tinyint(4),,
tw_political_comments,text,,
tw_family,tinyint(4),,
tw_family_comments,text,,
tw_god,tinyint(4),,
tw_god_comments,text,,
tw_academic,tinyint(4),,
tw_academic_comments,text,,
tw_appearance,tinyint(4),,
tw_appearance_comments,text,,
con_agree_0,tinyint(4),,
con_agree_1,tinyint(4),,
con_agree_2,tinyint(4),,
con_agree_3,tinyint(4),,
con_agree_4,tinyint(4),,
con_agree_5,tinyint(4),,
con_agree_6,tinyint(4),,
con_agree_7,tinyint(4),,
con_agree_8,tinyint(4),,
con_agree_9,tinyint(4),,
con_agree_10,tinyint(4),,
con_agree_11,tinyint(4),,
con_agree_12,tinyint(4),,
con_agree_13,tinyint(4),,
con_agree_14,tinyint(4),,
con_agree_15,tinyint(4),,
con_agree_16,tinyint(4),,
con_agree_17,tinyint(4),,
con_agree_18,tinyint(4),,
con_agree_19,tinyint(4),,
con_agree_20,tinyint(4),,
con_agree_21,tinyint(4),,
con_agree_22,tinyint(4),,
con_agree_23,tinyint(4),,
con_agree_24,tinyint(4),,
con_agree_25,tinyint(4),,
con_agree_26,tinyint(4),,
con_agree_27,tinyint(4),,
con_agree_28,tinyint(4),,
con_agree_29,tinyint(4),,
con_agree_30,tinyint(4),,
con_agree_31,tinyint(4),,
con_agree_32,tinyint(4),,
con_agree_33,tinyint(4),,
con_agree_34,tinyint(4),,
interested,tinyint(4),,
distressed,tinyint(4),,
excited,tinyint(4),,
upset,tinyint(4),,
strong,tinyint(4),,
guitly,tinyint(4),,
scared,tinyint(4),,
hostile,tinyint(4),,
enthusiastic,tinyint(4),,
proud,tinyint(4),,
tired,tinyint(4),,
irritable,tinyint(4),,
alert,tinyint(4),,
ashamed,tinyint(4),,
inspired,tinyint(4),,
nervous,tinyint(4),,
determined,tinyint(4),,
attentive,tinyint(4),,
jittery,tinyint(4),,
active,tinyint(4),,
afraid,tinyint(4),,
comments,text,,
started,datetime,,
ended,timestamp,update,CURRENT_TIMESTAMP
